"ControlId","FeatureName","Status","SupportedResources","Severity","PropertyPath","LineNumber","CurrentValue","ExpectedProperty","ExpectedValue","ResourcePath","ResourceLineNumber","Description","FilePath"
"Azure_Storage_DP_Encrypt_In_Transit","Storage","Failed","Microsoft.Storage/storageAccounts , Microsoft.Storage/storageAccounts/blobServices","High","Not found","-1","","$.properties.supportsHttpsTrafficOnly","'True'","resources[0]","30","HTTPS protocol must be used for accessing Storage Account resources",".\storage-account.json"
"Azure_Storage_BCDR_Enable_Soft_Delete","Storage","Verify","Microsoft.Storage/storageAccounts , Microsoft.Storage/storageAccounts/blobServices","Medium","Not found","-1","","$.properties.deleteRetentionPolicy.enabled","'True'","resources[0]","30","Soft delete should be enabled to allow recovery of deleted blobs or blob snapshots",".\storage-account.json"
